;AAPL;AMZN;GOOG;META;MSFT;NVDA
2024-05-21 00:00:00+00:00;;;;;;
2024-05-22 00:00:00+00:00;;;;;;
2024-05-23 00:00:00+00:00;;;;;;
2024-05-24 00:00:00+00:00;;;;;;
2024-05-28 00:00:00+00:00;;;;;;
2024-05-29 00:00:00+00:00;;;;;;
2024-05-30 00:00:00+00:00;;;;;;
2024-05-31 00:00:00+00:00;;;;;;
2024-06-03 00:00:00+00:00;;;;;;
2024-06-04 00:00:00+00:00;;;;;;
2024-06-05 00:00:00+00:00;;;;;;
2024-06-06 00:00:00+00:00;;;;;;
2024-06-07 00:00:00+00:00;;;;;;
2024-06-10 00:00:00+00:00;;;;;;
2024-06-11 00:00:00+00:00;;;;;;
2024-06-12 00:00:00+00:00;;;;;;
2024-06-13 00:00:00+00:00;;;;;;
2024-06-14 00:00:00+00:00;;;;;;
2024-06-17 00:00:00+00:00;;;;;;
2024-06-18 00:00:00+00:00;198.0815414428711;182.5904998779297;176.51283645629883;485.83466796875;427.793603515625;117.03428993225097
2024-06-20 00:00:00+00:00;198.94608840942382;182.73800048828124;176.43164749145507;487.709423828125;428.62344512939455;118.80410766601562
2024-06-21 00:00:00+00:00;199.7737190246582;183.03550033569337;176.5546012878418;489.08131408691406;429.5827926635742;120.38525314331055
2024-06-24 00:00:00+00:00;200.83432235717774;183.2615005493164;176.8506607055664;490.7593139648437;430.6123733520508;121.10111846923829
2024-06-25 00:00:00+00:00;201.78667144775392;183.54100036621094;177.32256088256835;492.4004653930664;431.6479293823242;122.0824535369873
2024-06-26 00:00:00+00:00;202.94704971313476;184.1140007019043;177.69968185424804;494.0826614379883;432.7357864379883;122.7077751159668
2024-06-27 00:00:00+00:00;204.13486709594727;184.90550079345704;178.18212966918946;496.3640106201172;433.91529541015626;123.16642570495605
2024-06-28 00:00:00+00:00;205.09918823242188;185.60200042724608;178.68433227539063;498.24388122558594;435.5231735229492;123.81877861022949
2024-07-01 00:00:00+00:00;206.32142715454103;186.6400001525879;179.22001419067382;500.15770721435547;437.5952835083008;124.55246543884277
2024-07-02 00:00:00+00:00;207.63047103881837;187.72300033569337;179.83861236572267;501.78034057617185;439.8746047973633;124.9363784790039
2024-07-03 00:00:00+00:00;208.98740615844727;188.63550033569337;180.46074676513672;503.4509033203125;442.1011260986328;125.5289150238037
2024-07-05 00:00:00+00:00;210.5074722290039;189.5715003967285;181.2143180847168;505.7157928466797;444.2703659057617;125.69889183044434
2024-07-08 00:00:00+00:00;212.17071609497071;190.28600006103517;181.83014297485352;507.51656341552734;446.348454284668;126.0594326019287
2024-07-09 00:00:00+00:00;213.75663299560546;191.0379997253418;182.56367721557618;509.39122314453124;448.12618560791014;126.58444862365722
